timestamp,model,categories,size,train_accuracy,test_accuracy,epochs,learning_rate,algo
2025-07-22T02:20:35.454871,linear,Horreur|Animation,15x10,0.4815989847715736,0.5392405063291139,1000,0.001,rosenblatt
2025-07-22T02:20:50.745771,linear,Horreur|Animation,15x10,0.491751269035533,0.5544303797468354,1000,0.001,gradient-descent
2025-07-22T02:20:55.757577,linear,Horreur|Animation,15x10,0.6383248730964467,0.6329113924050633,5000,0.001,rosenblatt
2025-07-22T02:21:34.074001,linear,Horreur|Animation,15x10,0.6713197969543148,0.6531645569620254,5000,0.001,gradient-descent
2025-07-22T02:21:35.180030,linear,Horreur|Animation,15x10,0.626269035532995,0.5341772151898734,1000,0.01,rosenblatt
2025-07-22T02:21:42.884144,linear,Horreur|Animation,15x10,0.6770304568527918,0.6253164556962025,1000,0.01,gradient-descent
2025-07-22T02:21:47.500375,linear,Horreur|Animation,15x10,0.7449238578680203,0.7316455696202532,5000,0.01,rosenblatt
2025-07-22T02:22:24.939413,linear,Horreur|Animation,15x10,0.766497461928934,0.7240506329113924,5000,0.01,gradient-descent
2025-07-22T02:22:26.097054,linear,Horreur|Animation,15x10,0.6852791878172588,0.6379746835443038,1000,0.05,rosenblatt
2025-07-22T02:22:33.993293,linear,Horreur|Animation,15x10,0.7538071065989848,0.7367088607594937,1000,0.05,gradient-descent
2025-07-22T02:22:38.623817,linear,Horreur|Animation,15x10,0.7709390862944162,0.7468354430379747,5000,0.05,rosenblatt
2025-07-22T02:23:15.374530,linear,Horreur|Animation,15x10,0.7772842639593909,0.7240506329113924,5000,0.05,gradient-descent
2025-07-22T02:23:16.498195,linear,Horreur|Animation,15x10,0.7043147208121827,0.7316455696202532,1000,0.1,rosenblatt
2025-07-22T02:23:24.180606,linear,Horreur|Animation,15x10,0.7671319796954315,0.7468354430379747,1000,0.1,gradient-descent
2025-07-22T02:23:28.694940,linear,Horreur|Animation,15x10,0.6986040609137056,0.7164556962025317,5000,0.1,rosenblatt
2025-07-22T02:24:04.663444,linear,Horreur|Animation,15x10,0.7791878172588832,0.7215189873417721,5000,0.1,gradient-descent
2025-07-22T02:25:04.365929,linear,Horreur|Animation|Action,15x10,0.22851153039832284,0.23618090452261306,1000,0.001,rosenblatt
2025-07-22T02:25:24.189567,linear,Horreur|Animation|Action,15x10,0.23186582809224318,0.24288107202680068,1000,0.001,gradient-descent
2025-07-22T02:25:33.908815,linear,Horreur|Animation|Action,15x10,0.4482180293501048,0.4388609715242881,5000,0.001,rosenblatt
2025-07-22T02:27:09.514685,linear,Horreur|Animation|Action,15x10,0.4159329140461216,0.4371859296482412,5000,0.001,gradient-descent
2025-07-22T02:27:11.747450,linear,Horreur|Animation|Action,15x10,0.47379454926624737,0.4539363484087102,1000,0.01,rosenblatt
2025-07-22T02:27:30.987239,linear,Horreur|Animation|Action,15x10,0.4830188679245283,0.4807370184254606,1000,0.01,gradient-descent
2025-07-22T02:27:40.697689,linear,Horreur|Animation|Action,15x10,0.569392033542977,0.52428810720268,5000,0.01,rosenblatt
2025-07-22T02:29:15.177092,linear,Horreur|Animation|Action,15x10,0.5924528301886792,0.5443886097152428,5000,0.01,gradient-descent
2025-07-22T02:29:17.412173,linear,Horreur|Animation|Action,15x10,0.4238993710691824,0.3953098827470687,1000,0.05,rosenblatt
2025-07-22T02:29:36.929070,linear,Horreur|Animation|Action,15x10,0.6029350104821803,0.5393634840871022,1000,0.05,gradient-descent
2025-07-22T02:29:46.813421,linear,Horreur|Animation|Action,15x10,0.39664570230607965,0.35678391959798994,5000,0.05,rosenblatt
2025-07-22T02:31:20.624175,linear,Horreur|Animation|Action,15x10,0.650314465408805,0.5862646566164154,5000,0.05,gradient-descent
2025-07-22T02:31:22.868679,linear,Horreur|Animation|Action,15x10,0.3488469601677149,0.2998324958123953,1000,0.1,rosenblatt
2025-07-22T02:31:41.807471,linear,Horreur|Animation|Action,15x10,0.6264150943396226,0.5494137353433836,1000,0.1,gradient-descent
2025-07-22T02:31:51.607835,linear,Horreur|Animation|Action,15x10,0.5010482180293501,0.5108877721943048,5000,0.1,rosenblatt
2025-07-22T02:33:27.756041,linear,Horreur|Animation|Action,15x10,0.6763102725366876,0.5862646566164154,5000,0.1,gradient-descent
